 2019-03-29 19:20:10,596 [P1340/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.8.1 application starting on JES-PC
 2019-03-29 19:20:10,623 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2019-03-29 19:20:10,644 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 21ms)
 2019-03-29 19:20:10,702 [P1340/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2019-03-29 19:20:10,704 [P1340/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2019-03-29 19:20:10,707 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-03-29 19:20:11,029 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 321ms)
 2019-03-29 19:20:11,029 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IApplicationStartupHandler
 2019-03-29 19:20:11,035 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IApplicationStartupHandler (took 6ms)
 2019-03-29 19:20:11,057 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-03-29 19:20:11,058 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2019-03-29 19:20:11,058 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2019-03-29 19:20:11,065 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 7ms)
 2019-03-29 19:20:11,066 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-03-29 19:20:11,066 [P1340/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
